Samples_0,CFC
0A0_1,607000
0A0_2,4000
0A0_3,9000
24A0_4,125000
24A0_5,28000
24A0_6,548000
48A0_7,13000
48A0_8,8000
48A0_9,8000
73A0_10,6334000
73A0_11,10000
73A0_12,180000
96A0_13,31000
96A0_14,56000
96A0_15,36000
120A0_16,5624000
120A0_17,67000
120A0_18,480000
168A0_19,4434000
168A0_20,974000
168A0_21,261000
190A0_22,812000
190A0_23,8589000
190A0_24,15000
263A0_25,407763000
263A0_26,1003592000
263A0_27,724323000
287A0_28,821739000
287A0_29,630115000
287A0_30,154228000
359A0_31,190642000
359A0_32,276009000
359A0_33,130730000
434A0_34,1164936000
434A0_35,335527000
434A0_36,277985000
24A4_37,34000
24A4_38,58000
24A4_39,6000
48A4_40,104000
48A4_41,76000
48A4_42,6000
73A4_43,1093000
73A4_44,33000
73A4_45,356000
96A4_46,4096000
96A4_47,317000
96A4_48,134000
120A4_49,249000
120A4_50,20000
120A4_51,8518000
144A4_52,135000
144A4_53,71000
144A4_54,16407000
168A4_55,1183554000
168A4_56,1350896000
168A4_57,1398318000
190A4_58,803826000
190A4_59,122673000
190A4_60,651718000
215A4_61,1132797000
215A4_62,129008000
215A4_63,500582000
263A4_64,124572000
263A4_65,454274000
263A4_66,254661000
311A4_67,399626000
311A4_68,660824000
311A4_69,878215000
359A4_70,181404000
359A4_71,837398000
359A4_72,455631000
12A8_73,9000
12A8_74,19000
12A8_75,4000
24A8_76,6000
24A8_77,3000
24A8_78,24000
48A8_79,28000
48A8_80,45000
48A8_81,61000
58A8_82,3883000
58A8_83,293000
58A8_84,154000
69A8_85,26000
69A8_86,1607000
69A8_87,442000
81A8_88,2727000
81A8_89,86000
81A8_90,1023000
103A8_91,136000
103A8_92,121000
103A8_93,295000
127A8_94,26001000
127A8_95,307693000
127A8_96,285568000
139A8_97,91511000
139A8_98,488115000
139A8_99,1700290000
175A8_100,1845041000
175A8_101,531611000
175A8_102,2002161000
199A8_103,136021000
199A8_104,670866000
199A8_105,429041000
8A12_106,32000
8A12_107,44000
8A12_108,10000
16A12_109,33000
16A12_110,28000
16A12_111,175000
24A12_112,67000
24A12_113,14000
24A12_114,176000
30A12_115,45000
30A12_116,270000
30A12_117,140000
36A12_118,185000
36A12_119,1592000
36A12_120,919000
48A12_121,3975000
48A12_122,3000
48A12_123,1007000
54A12_124,146000
54A12_125,8287000
54A12_126,264000
60A12_127,2066389000
60A12_128,154709000
60A12_129,56963000
69A12_130,316695000
69A12_131,487232000
69A12_132,1426455000
77A12_133,1460979000
77A12_134,78155000
77A12_135,76670000
100A12_136,3721328000
100A12_137,567064000
100A12_138,862345000
139A12_139,1048878000
139A12_140,347991000
139A12_141,24107000
6A16_142,23000
6A16_143,20000
6A16_144,9000
12A16_145,17000
12A16_146,14000
12A16_147,32000
18A16_148,10000
18A16_149,4000
18A16_150,21000
24A16_151,569000
24A16_152,6976000
24A16_153,47000
30A16_154,5000
30A16_155,10083000
30A16_156,79000
36A16_157,435000
36A16_158,86000
36A16_159,18000
42A16_160,62000
42A16_161,744000
42A16_162,122000
46A16_163,503058000
46A16_164,2372439000
46A16_165,437691000
60A16_166,2133605000
60A16_167,766561000
60A16_168,733616000
73A16_169,1204037000
73A16_170,1230393000
73A16_171,132247000
77A16_172,1455044000
77A16_173,114623000
77A16_174,7941000
91A16_175,111642000
91A16_176,12407000
91A16_177,297577000
